   R       RHORP      DRHORP      RHORN    DRHORN
 14.05  7.8277E-13  5.8311E-13  1.879E-7  5.05E-8
 14.15  7.1226E-13  3.8204E-13  1.858E-7  4.97E-8
 14.25  1.1321E-12  5.8435E-13  2.74E-7   6.03E-8
 14.35  1.8617E-13  1.2185E-13  1.031E-7  3.66E-8
 14.45  1.7947E-13  9.7191E-14  2.414E-7  5.57E-8
 14.55  1.3163E-13  9.0219E-14  1.127E-7  3.79E-8
 14.65  9.1313E-14  5.2094E-14  1.236E-7  3.93E-8
 14.75  7.0551E-14  5.3868E-14  1.464E-7  4.24E-8
 14.85  1.7906E-14  1.1464E-14  6.02E-8   2.7E-8
 14.95  1.1112E-12  7.5886E-13  1.187E-7  3.79E-8
 15.05  3.7295E-15  2.176E-15   4.69E-8   2.364E-8
 15.15  5.081E-13   4.6806E-13  1.155E-7  3.69E-8
 15.25  1.9035E-14  1.062E-14   9.12E-8   3.23E-8
 15.35  3.5307E-14  3.1704E-14  4.5E-8    2.255E-8
 15.45  2.0686E-14  1.6461E-14  4.44E-8   2.238E-8
 15.55  1.4867E-14  1.3351E-14  4.39E-8   2.199E-8
 15.65  2.0637E-14  1.5197E-14  4.33E-8   2.172E-8
 15.75  3.3227E-15  1.6271E-15  8.56E-8   3.06E-8
 15.85  2.4609E-14  1.7605E-14  6.33E-8   2.6E-8
 15.95  2.7466E-14  1.6441E-14  6.26E-8   2.56E-8
 16.05  6.8936E-15  6.8936E-15  1.03E-8   1.03E-8
 16.15  3.3606E-14  3.2806E-14  3.05E-8   1.775E-8
 16.25  3.8528E-15  2.6718E-15  7.03E-8   2.67E-8
 16.35  5.062E-14   4.7413E-14  7.93E-8   2.82E-8
 16.45  1.0044E-15  7.791E-16   2.94E-8   1.704E-8
 16.55  2.3009E-15  1.6808E-15  1.938E-8  1.371E-8
 16.65  2.4028E-14  1.7818E-14  4.78E-8   2.169E-8
 16.75  3.012E-15   2.7115E-15  3.79E-8   1.9E-8
 16.85  1.088E-16   7.303E-17   3.74E-8   1.87E-8
 16.95  3.7471E-15  3.5761E-15  3.69E-8   1.846E-8
 17.05  1.5188E-15  1.3982E-15  2.74E-8   1.601E-8
 17.15  9.2012E-15  6.4244E-15  2.71E-8   1.562E-8
 17.25  2.7742E-16  2.1104E-16  3.57E-8   1.793E-8
 17.35  9.7302E-16  9.7197E-16  1.762E-8  1.254E-8
 17.45  1.0902E-15  1.0602E-15  1.742E-8  1.232E-8
 17.55  0           0           0         0
 17.65  9.477E-17   7.636E-17   1.706E-8  1.206E-8
 17.75  0           0           0         0
 17.85  1.4204E-17  1.4204E-17  8.33E-9   8.33E-9
 17.95  2.1414E-17  1.6503E-17  2.465E-8  1.431E-8
 18.05  1.0173E-17  1.0173E-17  8.14E-9   8.14E-9
 18.15  2.802E-16   2.802E-16   8.05E-9   8.05E-9
 18.25  6.5296E-16  4.3965E-16  3.19E-8   1.6E-8
 18.35  4.7422E-15  4.7422E-15  7.87E-9   7.87E-9
 18.45  6.8704E-18  6.8704E-18  7.79E-9   7.79E-9
 18.55  0           0           0         0
 18.65  0           0           0         0
 18.75  0           0           0         0
 18.85  0           0           0         0
 18.95  7.3406E-17  7.3406E-17  7.39E-9   7.39E-9
 19.05  9.4505E-18  9.4505E-18  7.31E-9   7.31E-9
 19.15  5.2108E-19  5.2108E-19  7.24E-9   7.24E-9
 19.25  0           0           0         0
 19.35  0           0           0         0
 19.45  1.4105E-15  1.4105E-15  1.403E-8  9.92E-9
 19.55  0           0           0         0
 19.65  2.5718E-20  2.5718E-20  6.87E-9   6.87E-9
 19.75  9.712E-18   9.712E-18   6.8E-9    6.8E-9
 19.85  0           0           0         0
 19.95  3.3804E-18  3.3804E-18  6.67E-9   6.67E-9
 20.05  3.9873E-16  3.647E-16   3.3E-8    1.475E-8
