   R    RHORPP_C9  DRHORPP_C9  RHORNP_C9  DRHORNP_C9  RHORNN_C9  DRHORNN_C9
 12.05  9.04E-7     2.241E-7   3.95E-7     9.49E-8    2.536E-9   8.8E-10
 12.15  2.59E-7     1.127E-7   1.43E-7     6.22E-8    1.475E-9   9.31E-10
 12.25  5.43E-7     1.723E-7   2.509E-7    7.8E-8     1.887E-9   8.55E-10
 12.35  3.68E-7     1.388E-7   1.528E-7    5.84E-8    1.811E-9   8.79E-10
 12.45  2.56E-7     1.077E-7   1.258E-7    5.24E-8    2.978E-9   2.11E-9
 12.55  5.557E-8    5.557E-8   7.57E-9     7.57E-9    6.64E-12   6.64E-12
 12.65  1.692E-7    9.23E-8    7.89E-8     4.04E-8    4.636E-10  2.39E-10
 12.75  1.394E-7    9.12E-8    4.39E-8     2.667E-8   3.215E-10  1.905E-10
 12.85  3.98E-8     3.98E-8    2.025E-8    2.025E-8   2.102E-10  2.102E-10
 12.95  1.114E-7    6.94E-8    6.43E-8     3.826E-8   2.184E-9   1.907E-9
 13.05  8.3E-8      5.99E-8    3.37E-8     2.423E-8   1.223E-10  1.175E-10
 13.15  4.23E-8     4.23E-8    1.525E-8    1.525E-8   3.67E-11   3.67E-11
 13.25  8.03E-8     5.72E-8    3.283E-8    2.421E-8   2.003E-10  1.595E-10
 13.35  0           0          0           0          0          0
 13.45  1.36E-7     8.26E-8    2.881E-8    1.75E-8    7.51E-11   1.011E-10
 13.55  0           0          0           0          0          0
 13.65  0           0          0           0          0          0
 13.75  5.052E-8    5.052E-8   2.112E-9    2.112E-9   1.751E-11  1.751E-11
 13.85  0           0          0           0          0          0
 13.95  4.919E-8    4.919E-8   1.924E-9    1.924E-9   1.61E-11   1.61E-11
 14.05  0           0          0           0          0          0
 14.15  0           0          0           0          0          0
 14.25  0           0          0           0          0          0
 14.35  0           0          0           0          0          0
 14.45  0           0          0           0          0          0
 14.55  2.82E-8     2.82E-8    1.836E-8    1.836E-8   4.466E-10  4.466E-10
 14.65  0           0          0           0          0          0
 14.75  0           0          0           0          0          0
 14.85  0           0          0           0          0          0
 14.95  0           0          0           0          0          0
 15.05  0           0          0           0          0          0
 15.15  0           0          0           0          0          0
 15.25  0           0          0           0          0          0
 15.35  0           0          0           0          0          0
 15.45  0           0          0           0          0          0
 15.55  0           0          0           0          0          0
 15.65  0           0          0           0          0          0
 15.75  0           0          0           0          0          0
 15.85  0           0          0           0          0          0
 15.95  0           0          0           0          0          0
 16.05  0           0          0           0          0          0
 16.15  0           0          0           0          0          0
 16.25  0           0          0           0          0          0
 16.35  0           0          0           0          0          0
 16.45  0           0          0           0          0          0
 16.55  0           0          0           0          0          0
 16.65  0           0          0           0          0          0
 16.75  0           0          0           0          0          0
 16.85  0           0          0           0          0          0
 16.95  0           0          0           0          0          0
 17.05  0           0          0           0          0          0
 17.15  0           0          0           0          0          0
 17.25  0           0          0           0          0          0
 17.35  0           0          0           0          0          0
 17.45  0           0          0           0          0          0
 17.55  0           0          0           0          0          0
 17.65  0           0          0           0          0          0
 17.75  0           0          0           0          0          0
 17.85  0           0          0           0          0          0
 17.95  0           0          0           0          0          0
 18.05  0           0          0           0          0          0
 18.15  0           0          0           0          0          0
 18.25  0           0          0           0          0          0
 18.35  0           0          0           0          0          0
 18.45  0           0          0           0          0          0
 18.55  0           0          0           0          0          0
 18.65  0           0          0           0          0          0
 18.75  0           0          0           0          0          0
 18.85  0           0          0           0          0          0
 18.95  0           0          0           0          0          0
 19.05  0           0          0           0          0          0
 19.15  0           0          0           0          0          0
 19.25  0           0          0           0          0          0
 19.35  0           0          0           0          0          0
 19.45  0           0          0           0          0          0
 19.55  0           0          0           0          0          0
 19.65  0           0          0           0          0          0
 19.75  0           0          0           0          0          0
 19.85  0           0          0           0          0          0
 19.95  0           0          0           0          0          0
 20.05  0           0          0           0          0          0
