   R       RHORPP       DRHORPP       RHORNP       DRHORNP
15.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
15.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
