   R       RHORPP      DRHORPP    RHORNP    DRHORNP   RHORNN    DRHORNN
 16.35   5.45E-11    7.83E-11    3.442E-8  3.442E-8  1.143E-7  1.143E-7
 16.45   0           0           0         0         0         0
 16.55  -1.491E-10   1.491E-10   3.78E-8   3.78E-8   1.076E-7  1.076E-7
 16.65   0           0           0         0         0         0
 16.75   1.179E-10   1.179E-10   2.854E-8  2.854E-8  1.131E-7  1.131E-7
 16.85  -1.099E-9    1.099E-9    1.105E-7  1.105E-7  1.709E-7  1.709E-7
 16.95  -6.26E-11    7.54E-10    1.707E-7  1.152E-7  3.84E-7   2.34E-7
 17.05   1.32E-10    1.318E-10   1.067E-7  6.23E-8   3.04E-7   1.771E-7
 17.15  -2.655E-10   2.655E-10   4.57E-8   4.57E-8   8.98E-8   8.98E-8
 17.25   5.21E-10    5.21E-10    3.892E-8  3.892E-8  9.43E-8   9.43E-8
 17.35   7.343E-11   7.343E-11   1.26E-8   1.26E-8   1.195E-7  1.195E-7
 17.45   0           0           0         0         0         0
 17.55   0           0           0         0         0         0
 17.65   3.024E-10   2.379E-10   6.74E-8   4.87E-8   1.877E-7  1.466E-7
 17.75   0           0           0         0         0         0
 17.85   0           0           0         0         0         0
 17.95   0           0           0         0         0         0
 18.05   0           0           0         0         0         0
 18.15   0           0           0         0         0         0
 18.25   0           0           0         0         0         0
 18.35   3.3E-12     4.37E-11    1.477E-8  1.477E-8  1.034E-7  1.034E-7
 18.45   0           0           0         0         0         0
 18.55   0           0           0         0         0         0
 18.65   0           0           0         0         0         0
 18.75   0           0           0         0         0         0
 18.85   0           0           0         0         0         0
 18.95   0           0           0         0         0         0
 19.05   0           0           0         0         0         0
 19.15   0           0           0         0         0         0
 19.25   0           0           0         0         0         0
 19.35   0           0           0         0         0         0
 19.45   0           0           0         0         0         0
 19.55   0           0           0         0         0         0
 19.65   0           0           0         0         0         0
 19.75   0           0           0         0         0         0
 19.85   0           0           0         0         0         0
 19.95   0           0           0         0         0         0
 20.05   0           0           0         0         0         0
