   R      RHORPP      DRHORPP     RHORNP    DRHORNP     RHORNN    DRHORNN
 10.55  9.19E-9     1.773E-9    9.14E-6    4.08E-7    1.655E-5   7.68E-7
 10.65  9.59E-9     1.986E-9    8.01E-6    3.734E-7   1.506E-5   7.33E-7
 10.75  1.388E-8    3.666E-9    7.54E-6    3.543E-7   1.493E-5   7.18E-7
 10.85  5.29E-9     1.717E-9    6.22E-6    3.202E-7   1.229E-5   6.53E-7
 10.95  4.541E-9    1.171E-9    5.88E-6    3.086E-7   1.229E-5   6.55E-7
 11.05  5.587E-9    1.37E-9     5.05E-6    2.846E-7   1.072E-5   6.05E-7
 11.15  3.761E-9    1.789E-9    4.58E-6    2.674E-7   9.71E-6    5.71E-7
 11.25  2.314E-9    5.499E-10   4.51E-6    2.622E-7   9.3E-6     5.49E-7
 11.35  2.064E-9    4.75E-10    4.075E-6   2.465E-7   9.12E-6    5.56E-7
 11.45  3.398E-9    1.908E-9    3.551E-6   2.352E-7   8.03E-6    5.12E-7
 11.55  1.722E-9    4.617E-10   2.721E-6   2.004E-7   6.5E-6     4.66E-7
 11.65  1.897E-9    6.568E-10   2.469E-6   1.892E-7   5.97E-6    4.41E-7
 11.75  5.81E-10    1.43E-10    2.03E-6    1.692E-7   4.83E-6    3.9E-7
 11.85  1.425E-9    7.4E-10     1.973E-6   1.636E-7   5.08E-6    3.97E-7
 11.95  6.32E-10    1.958E-10   1.84E-6    1.596E-7   4.88E-6    3.86E-7
 12.05  1.042E-9    3.559E-10   1.66E-6    1.519E-7   4.48E-6    3.77E-7
 12.15  5.31E-10    2.707E-10   1.503E-6   1.354E-7   3.95E-6    3.43E-7
 12.25  2.226E-10   5.954E-11   1.382E-6   1.32E-7    3.55E-6    3.27E-7
 12.35  3.546E-10   1.456E-10   1.128E-6   1.201E-7   3.02E-6    2.99E-7
 12.45  1.48E-10    4.503E-11   1.04E-6    1.146E-7   2.89E-6    2.93E-7
 12.55  2.368E-10   8.863E-11   8.91E-7    1.036E-7   2.95E-6    3E-7
 12.65  1.26E-10    4.94E-11    7.9E-7     9.76E-8    2.147E-6   2.47E-7
 12.75  2.203E-10   1.067E-10   6.86E-7    9.32E-8    2.493E-6   2.697E-7
 12.85  7.36E-11    2.364E-11   6.23E-7    8.85E-8    2.215E-6   2.55E-7
 12.95  5.267E-11   1.708E-11   7.68E-7    9.65E-8    2.343E-6   2.58E-7
 13.05  1.5527E-10  9.37E-11    5.12E-7    7.56E-8    1.689E-6   2.15E-7
 13.15  1.294E-10   5.761E-11   4.068E-7   6.64E-8    2.104E-6   2.438E-7
 13.25  3.049E-11   9.09E-12    4.14E-7    6.93E-8    1.444E-6   1.953E-7
 13.35  4.164E-11   1.968E-11   3.648E-7   5.97E-8    1.287E-6   1.793E-7
 13.45  1.3934E-10  1.1522E-10  2.734E-7   5.04E-8    1.464E-6   1.922E-7
 13.55  4.548E-11   1.981E-11   3.133E-7   5.64E-8    1.421E-6   1.958E-7
 13.65  2.492E-11   9.826E-12   2.384E-7   4.7E-8     1.022E-6   1.621E-7
 13.75  1.34E-11    6.32E-12    2.366E-7   4.85E-8    9.84E-7    1.557E-7
 13.85  3.738E-11   1.8813E-11  1.939E-7   4.19E-8    8.85E-7    1.474E-7
 13.95  3.946E-11   2.0408E-11  1.369E-7   3.414E-8   1.131E-6   1.75E-7
 14.05  1.037E-11   4.07E-12    1.751E-7   3.957E-8   6.71E-7    1.258E-7
 14.15  1.0868E-11  4.863E-12   1.177E-7   3.236E-8   6.97E-7    1.344E-7
 14.25  5.923E-12   2.832E-12   7.17E-8    2.56E-8    4.38E-7    9.91E-8
 14.35  5.829E-12   2.576E-12   1.134E-7   3.434E-8   6.4E-7     1.257E-7
 14.45  5.741E-12   3.328E-12   1.1E-7     3.153E-8   3.47E-7    9.38E-8
 14.55  5.4275E-11  4.8709E-11  1.048E-7   2.883E-8   7.22E-7    1.261E-7
 14.65  2.037E-12   7.42E-13    9.66E-8    2.853E-8   5.89E-7    1.189E-7
 14.75  1.1038E-11  5.583E-12   9.84E-8    2.883E-8   5.05E-7    1.077E-7
 14.85  1.6784E-12  8.816E-13   6.89E-8    2.425E-8   3.82E-7    9.47E-8
 14.95  1.1511E-11  8.309E-12   4.88E-8    1.862E-8   4.14E-7    9.83E-8
 15.05  1.5499E-12  6.995E-13   5.82E-8    2.179E-8   3.813E-7   8.76E-8
 15.15  2.0677E-11  1.485E-11   4.98E-8    1.916E-8   3.313E-7   8.09E-8
 15.25  1.042E-12   4.759E-13   8.18E-8    2.714E-8   3.46E-7    8.58E-8
 15.35  4.4753E-11  3.9838E-11  2.23E-8    1.268E-8   1.972E-7   6.11E-8
