   R     RHORPP_V18   DRHORPP_V18   RHORNP_V18   DRHORNP_V18
15.850  -3.7469E-09   3.6357E-08   -9.3192E-08   5.9647E-08
15.950   7.2010E-10   4.2378E-08    1.1649E-07   7.4761E-08
16.050   4.6002E-09   2.7332E-08    2.8019E-09   4.0622E-08
16.150  -1.3239E-09   8.1737E-09   -1.5763E-08   1.5056E-08
16.250   1.4274E-09   1.7210E-10   -1.4697E-08   1.7465E-08
16.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.450   2.7366E-09   2.4878E-08   -5.9530E-08   5.9415E-08
16.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.650   5.9885E-11   1.2891E-09   -1.5780E-08   1.5774E-08
16.750   9.8736E-11   1.4543E-08    3.8215E-10   3.8207E-10
16.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
16.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.150  -1.2272E-11   6.6238E-11   -3.6442E-08   3.6432E-08
17.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
17.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
18.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
19.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
20.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
21.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
22.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
23.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
24.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
25.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
26.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
27.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.550   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.650   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.750   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.850   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
28.950   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.050   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.150   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.250   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.350   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
29.450   0.0000E+00   0.0000E+00    0.0000E+00   0.0000E+00
