   R      RHORPPH    DRHORPPH    RHORNPH  DRHORNPH
 15.95  3.398E-9    2.002E-9    5.98E-9   3.5E-9
 16.05  2.76E-9     1.97E-9     3.42E-9   2.43E-9
 16.15  3.8681E-9   1.9865E-9   8.34E-9   4.239E-9
 16.25  2.959E-9    1.795E-9    6.08E-9   3.627E-9
 16.35  4.217E-9    2.1416E-9   7.69E-9   3.88E-9
 16.45  1.2877E-9   1.2877E-9   1.653E-9  1.653E-9
 16.55  3.478E-9    2.045E-9    5.24E-9   3.05E-9
 16.65  2.398E-9    1.699E-9    3.35E-9   2.379E-9
 16.75  1.0739E-9   1.0739E-9   1.758E-9  1.758E-9
 16.85  1.1148E-9   1.1148E-9   1.694E-9  1.694E-9
 16.95  2.271E-9    1.611E-9    3.27E-9   2.32E-9
 17.05  1.7882E-9   1.2671E-9   3.681E-9  2.604E-9
 17.15  3.082E-9    1.794E-9    5.03E-9   2.928E-9
 17.25  2.406E-9    1.704E-9    2.94E-9   2.078E-9
 17.35  8.649E-10   8.649E-10   1.782E-9  1.782E-9
 17.45  0           0           0         0
 17.55  9.456E-10   9.456E-10   1.641E-9  1.641E-9
 17.65  1.0756E-9   1.0756E-9   1.479E-9  1.479E-9
 17.75  0           0           0         0
 17.85  1.203E-9    1.203E-9    1.298E-9  1.298E-9
 17.95  8.112E-10   8.112E-10   1.655E-9  1.655E-9
 18.05  1.965E-9    1.404E-9    2.928E-9  2.067E-9
 18.15  0           0           0         0
 18.25  1.966E-9    1.401E-9    2.81E-9   1.991E-9
 18.35  0           0           0         0
 18.45  7.956E-10   7.956E-10   1.547E-9  1.547E-9
 18.55  0           0           0         0
 18.65  8.772E-10   8.772E-10   1.411E-9  1.411E-9
 18.75  0           0           0         0
 18.85  0           0           0         0
 18.95  8.194E-10   8.194E-10   1.397E-9  1.397E-9
 19.05  0           0           0         0
 19.15  5.2334E-10  5.2334E-10  1.649E-9  1.649E-9
 19.25  0           0           0         0
 19.35  0           0           0         0
 19.45  0           0           0         0
 19.55  0           0           0         0
 19.65  0           0           0         0
 19.75  0           0           0         0
 19.85  0           0           0         0
 19.95  0           0           0         0
 20.05  0           0           0         0
