    K       RHOKN       DRHOKN      RHOKP       DRHOKP
  5.3       .010146   6.2207E-4     .0093934  5.4204E-4
  5.4       .0083795  4.9832E-4     .0077816  4.3894E-4
  5.5       .0069188  3.9358E-4     .0064338  3.5127E-4
  5.6       .0057068  3.0671E-4     .0053037  2.7773E-4
  5.7       .0046921  2.3603E-4     .0043529  2.1692E-4
  5.8       .0038373  1.8052E-4     .0035514  1.6791E-4
  5.9       .0031175  1.4027E-4     .0028771  1.3062E-4
  6         .0025144  1.1538E-4     .002313   1.0524E-4
  6.1       .0020129  1.0378E-4     .0018449  9.1055E-5
  6.2       .0015997  1.0049E-4     .0014603  8.5269E-5
  6.3       .0012625  1.0028E-4     .0011477  8.3878E-5
  6.4      9.8944E-4  9.9842E-5    8.963E-4   8.3531E-5
  6.5      7.6999E-4  9.77E-5      6.964E-4   8.2285E-5
  6.6      5.9587E-4  9.3464E-5    5.3961E-4  7.9357E-5
  6.7      4.6054E-4  8.7307E-5    4.186E-4   7.47E-5
  6.8      3.5809E-4  7.9665E-5    3.267E-4   6.8667E-5
  6.9      2.8231E-4  7.1087E-5    2.5766E-4  6.1773E-5
  7        2.2653E-4  6.2149E-5    2.0564E-4  5.4547E-5
  7.1      1.8417E-4  5.3398E-5    1.6552E-4  4.7453E-5
  7.2      1.4986E-4  4.5287E-5    1.3336E-4  4.0841E-5
  7.3      1.203E-4   3.8116E-5    1.0659E-4  3.4927E-5
  7.4      9.4324E-5  3.2016E-5    8.3949E-5  2.9794E-5
  7.5      7.1964E-5  2.6973E-5    6.4933E-5  2.5419E-5
  7.6      5.3547E-5  2.2871E-5    4.938E-5   2.1713E-5
  7.7      3.923E-5   1.9542E-5    3.7137E-5  1.8556E-5
  7.8      2.8859E-5  1.6818E-5    2.7914E-5  1.5838E-5
  7.9      2.1826E-5  1.4587E-5    2.1218E-5  1.3496E-5
  8        1.7022E-5  1.2813E-5    1.6367E-5  1.1525E-5
  8.1      1.3172E-5  1.1534E-5    1.2664E-5  9.9943E-6
  8.2      9.4265E-6  1.082E-5     9.6277E-6  9.0095E-6
  8.3      5.7046E-6  1.0645E-5    7.1185E-6  8.6051E-6
  8.4      2.5691E-6  1.0785E-5    5.2852E-6  8.6181E-6
  8.5      7.9104E-7  1.0897E-5    4.3797E-6  8.7367E-6
  8.6      9.0781E-7  1.0688E-5    4.561E-6   8.6726E-6
  8.7      2.9531E-6  1.001E-5     5.7633E-6  8.2595E-6
  8.8      6.4022E-6  8.8539E-6    7.6626E-6  7.4526E-6
  8.9      1.0363E-5  7.3134E-6    9.768E-6   6.2974E-6
  9        1.3944E-5  5.5676E-6    1.1602E-5  4.9079E-6
  9.1      1.6569E-5  3.9175E-6    1.2867E-5  3.479E-6
  9.2      1.8094E-5  2.9646E-6    1.3498E-5  2.4026E-6
  9.3      1.8686E-5  3.3529E-6    1.361E-5   2.3618E-6
  9.4      1.8625E-5  4.535E-6     1.3385E-5  3.2376E-6
  9.5      1.8157E-5  5.7452E-6    1.2995E-5  4.2683E-6
  9.6      1.7439E-5  6.6389E-6    1.2557E-5  5.0854E-6
  9.7      1.6528E-5  7.0668E-6    1.2115E-5  5.5426E-6
  9.8      1.5433E-5  6.9825E-6    1.1651E-5  5.5897E-6
  9.9      1.4155E-5  6.4155E-6    1.1115E-5  5.2399E-6
 10        1.2715E-5  5.4611E-6    1.0449E-5  4.5597E-6
