#Target-1	A-2	Z-3	N-4	Average proton density-5	Average neutron density-6	Average density of nucleons sampled by protons-7	Average density of nucleons sampled by neutrons-8	Excluding scattered protons-9	Excluding scattered neutrons-10	Distance (dist)-11	Probability of a neutron to be within a certain distance (fm) of a proton-12	Probability of a proton to be within a certain distance (fm) of a proton-13	Probability of a neutron to be within a certain distance (fm) of a neutron-14	Momentum threshold-15	Fraction of protons with momenta above the momentum threshold (fig4)-16	Fraction of neutrons with momenta above the momentum threshold-17	Proton kinetic energy-18	Proton normalization-19	Neutron kinetic energy-20	Neutron normalization-21	fpclose-22	fnclose-23	Fpke-24	fnke-25
he3	3	2	1	0.058464258481451294	0.035906010915858745	0.09076589828699445	0.1005099349807405	0.06149965440637306	0.06456166223444573	1.0	0.06318747215377585	0.04435045239031236	0.04435045239031236	2.0	0.04609749736564887	0.02935102386758019	0.0019373344729639896	2.0000412979601396	0.001469099308357557	2.0000412979601396	0.01075379245440882	0.01075379245440882	0.0019373344729639896	0.001469099308357557
he4_v18	4	2	2	0.07443714397146252	0.07443714397146252	0.14887428794292504	0.14887428794292504	0.11160710318753059	0.11160710318753059	1.0	0.07389752124634053	0.05798277721803976	0.05798277721803976	2.0	0.0557348037910125	0.0557348037910125	0.0024217151799487036	1.9999826912422114	0.002418381636013894	1.9999826912422114	0.02057778197107208	0.02057778197107208	0.0024217151799487036	0.002418381636013894
he4	4	2	2	0.08402151535774588	0.08402151535774588	0.16804303071549173	0.16804303071549173	0.12596189312024308	0.12596189312024308	1.0	0.07941918868734951	0.06225811720654201	0.06225811720654201	2.0	0.06810011342365031	0.06810011342365031	0.0027591251840565277	2.0000630892826075	0.0027553271878681877	2.0000630892826075	0.022109649458124103	0.022109649458124103	0.0027591251840565277	0.0027553271878681877
he6	6	2	4	0.033968106056236104	0.02834557849019505	0.07633980742939928	0.0495264134012752	0.05934177995353397	0.042435867199025847	1.0	0.04203442871948937	0.05743679939998078	0.017811217646143875	2.0	0.039360392056487926	0.0717731244374374	0.0019147372478393982	1.9999808892364492	0.002769192276984692	1.9999808892364492	0.022557451427793827	0.018594893252410136	0.0019147372478393982	0.002769192276984692
he8	8	2	6	0.03915924703720478	0.03711809948006297	0.09901635585607534	0.05706515358026977	0.079436622444459	0.0508804170585583	1.0	0.03391521187639481	0.05541505031313025	0.01179746831527767	2.0	0.03428473977683284	0.08436956300803884	0.0019369694371589976	1.9999771323339606	0.003063947956077729	1.9999771323339606	0.02589063215714991	0.021528873957364653	0.0019369694371589976	0.003063947956077729
he10	10	2	8	0.033189973811985025	0.024586636452630168	0.08206219637929155	0.03680362361736583	0.06546980310395205	0.03373104311419941	1.0	0.024688474623911758	0.054483437172354474	0.005979878162156836	2.0	0.023553577728821537	0.07847884624823705	0.0014128726894310254	1.9999749282768287	0.0029847247966469093	1.9999749282768287	0.025199123416364856	0.02034876751534509	0.0014128726894310254	0.0029847247966469093
li6	6	3	3	0.028085875319680927	0.028085875319680927	0.056171750639361855	0.056171750639361855	0.04681018421582478	0.04681018421582478	1.0	0.044695123468110505	0.022746552157187894	0.022746552157187894	2.0	0.007123393401626969	0.007123393401626969	0.0012043813428378619	0.8659822490299243	0.0012027234855663475	0.8659822490299243	0.01795784747187073	0.01795784747187073	0.0012043813428378619	0.0012027234855663475 #lig_ad1 for momentum
li7	7	3	4	0.02907882376477763	0.03140408397559262	0.06370771363663333	0.05736701489762498	0.05401338526999799	0.04951751172504829	1.0	0.03988152885292696	0.022465054124557713	0.0207295562488218	2.0	0.0650581574588551	0.052652432317490755	0.0026742586904748246	3.9999470823403307	0.002432438760588104	3.9999470823403307	0.020445622366082324	0.02009852279093514	0.0026742586904748246	0.002432438760588104 #li7_1 for momentum
li8	8	3	5	0.03605408299956294	0.039876330200132516	0.08399320879197308	0.06862880301508589	0.0719577801810809	0.06064504469080571	1.0	0.03503276094958986	0.02386026937489209	0.015252757040258849	2.0	0.0727432041412563	0.04862785550833646	0.0028951319533490937	5.000061546639616	0.002397913960660885	5.000061546639616	0.02228843434977335	0.0205669318828467	0.0028951319533490937	0.002397913960660885
li9	9	3	6	0.039672904987013376	0.04813107061981628	0.09945042288336087	0.07801144059397942	0.08621025169116671	0.06998222327233186	1.0	0.033157925303552875	0.02545764809261776	0.015131150324149524	2.0	0.0798271423066936	0.04758162735938581	0.0031385953663172306	6.000121296874241	0.0024912285214018044	6.000121296874241	0.024986284800655276	0.02292098524696163	0.0031385953663172306	0.0024912285214018044
li11	11	3	8	0.0315909254532575	0.03249558424405904	0.07943374547330147	0.05044257127443198	0.06890610748448862	0.04638031122343147	1.0	0.021333496471570193	0.022159030272350007	0.007271387210833076	2.0	0.06919111817920544	0.03140932446687716	0.00274206227364646	8.000122107058338	0.0017330683811750713	8.000122107058338	0.021498603231726154	0.01852107461942277	0.00274206227364646	0.0017330683811750713
o16_v18	16	8	8	0.06123242921859082	0.06123242921859082	0.12246485843718163	0.12246485843718163	0.1148134709851109	0.1148134709851109	1.0	0.024819439280615817	0.013434070971768065	0.013434070971768065	2.0	0.06781198869879737	0.06781198869879737	0.003154269836916241	7.986662885514474	0.0031499279154670688	7.986662885514474	0.029259401104730298	0.029259401104730298	0.003154269836916241	0.0031499279154670688
o16	16	8	8	0.0475912408054797	0.0475912408054797	0.0951824816109594	0.0951824816109594	0.08923257159918535	0.08923257159918535	1.0	0.02054237007725734	0.010710024523809251	0.010710024523809251	2.0	0.06825038540700964	0.06825038540700964	0.002889404581984903	7.9875150644117765	0.0028854272533546674	7.9875150644117765	0.023930913228472347	0.023930913228472347	0.002889404581984903	0.0028854272533546674
